DBN,Grade,Year,Demographic,NumberTeted,Meancalecore,NumLevel1,PctLevel1,NumLevel2,PctLevel2,NumLevel3,PctLevel3,NumLevel4,PctLevel4,NumLevel3and4,PctLevel3and4
01M015,3,2013,All tudent,27,278,16,59.3,11,40.7,0,0,0,0,0,0
01M015,3,2014,All tudent,18,286,6,33.3,9,50,2,11.1,1,5.6,3,16.7
01M015,3,2015,All tudent,17,280,10,58.8,4,23.5,2,11.8,1,5.9,3,17.6
01M015,3,2016,All tudent,21,275,13,61.9,4,19,4,19,0,0,4,19
01M015,3,2017,All tudent,29,302,8,27.6,9,31,7,24.1,5,17.2,12,41.4
01M015,4,2013,All tudent,20,277,12,60,6,30,1,5,1,5,2,10
01M015,4,2014,All tudent,24,282,9,37.5,14,58.3,1,4.2,0,0,1,4.2
01M015,4,2015,All tudent,17,281,8,47.1,7,41.2,2,11.8,0,0,2,11.8
01M015,4,2016,All tudent,15,304,3,20,7,46.7,3,20,2,13.3,5,33.3
01M015,4,2017,All tudent,23,301,6,26.1,8,34.8,8,34.8,1,4.3,9,39.1
01M015,5,2013,All tudent,24,274,17,70.8,6,25,1,4.2,0,0,1,4.2
01M015,5,2014,All tudent,21,266,17,81,2,9.5,1,4.8,1,4.8,2,9.5
01M015,5,2015,All tudent,24,275,16,66.7,6,25,2,8.3,0,0,2,8.3
01M015,5,2016,All tudent,16,283,7,43.8,7,43.8,2,12.5,0,0,2,12.5
01M015,5,2017,All tudent,17,322,2,11.8,5,29.4,8,47.1,2,11.8,10,58.8
01M015,All Grade,2013,All tudent,71,276,45,63.4,23,32.4,2,2.8,1,1.4,3,4.2
01M015,All Grade,2014,All tudent,63,278,32,50.8,25,39.7,4,6.3,2,3.2,6,9.5
01M015,All Grade,2015,All tudent,58,278,34,58.6,17,29.3,6,10.3,1,1.7,7,12.1
01M015,All Grade,2016,All tudent,52,286,23,44.2,18,34.6,9,17.3,2,3.8,11,21.2
01M015,All Grade,2017,All tudent,69,307,16,23.2,22,31.9,23,33.3,8,11.6,31,44.9
01M019,3,2013,All tudent,36,311,8,22.2,10,27.8,10,27.8,8,22.2,18,50
01M019,3,2014,All tudent,35,311,8,22.9,10,28.6,11,31.4,6,17.1,17,48.6
01M019,3,2015,All tudent,28,303,6,21.4,11,39.3,9,32.1,2,7.1,11,39.3
01M019,3,2016,All tudent,33,316,5,15.2,9,27.3,13,39.4,6,18.2,19,57.6
01M019,3,2017,All tudent,28,313,7,25,6,21.4,8,28.6,7,25,15,53.6
01M019,4,2013,All tudent,42,289,18,42.9,11,26.2,13,31,0,0,13,31
01M019,4,2014,All tudent,34,316,7,20.6,8,23.5,10,29.4,9,26.5,19,55.9
01M019,4,2015,All tudent,32,322,4,12.5,6,18.8,11,34.4,11,34.4,22,68.8
01M019,4,2016,All tudent,28,315,4,14.3,10,35.7,4,14.3,10,35.7,14,50
01M019,4,2017,All tudent,29,324,3,10.3,8,27.6,7,24.1,11,37.9,18,62.1
01M019,5,2013,All tudent,36,304,11,30.6,16,44.4,8,22.2,1,2.8,9,25
01M019,5,2014,All tudent,35,297,12,34.3,15,42.9,7,20,1,2.9,8,22.9
01M019,5,2015,All tudent,30,326,3,10,12,40,8,26.7,7,23.3,15,50
01M019,5,2016,All tudent,32,317,5,15.6,12,37.5,11,34.4,4,12.5,15,46.9
01M019,5,2017,All tudent,27,310,6,22.2,11,40.7,5,18.5,5,18.5,10,37
01M019,All Grade,2013,All tudent,114,301,37,32.5,37,32.5,31,27.2,9,7.9,40,35.1
01M019,All Grade,2014,All tudent,104,308,27,26,33,31.7,28,26.9,16,15.4,44,42.3
01M019,All Grade,2015,All tudent,90,318,13,14.4,29,32.2,28,31.1,20,22.2,48,53.3
01M019,All Grade,2016,All tudent,93,316,14,15.1,31,33.3,28,30.1,20,21.5,48,51.6
01M019,All Grade,2017,All tudent,84,315,16,19,25,29.8,20,23.8,23,27.4,43,51.2
01M020,3,2013,All tudent,79,302,20,25.3,31,39.2,18,22.8,10,12.7,28,35.4
01M020,3,2014,All tudent,97,296,36,37.1,26,26.8,22,22.7,13,13.4,35,36.1
01M020,3,2015,All tudent,92,299,32,34.8,25,27.2,19,20.7,16,17.4,35,38
01M020,3,2016,All tudent,76,296,24,31.6,24,31.6,17,22.4,11,14.5,28,36.8
01M020,3,2017,All tudent,82,285,38,46.3,23,28,13,15.9,8,9.8,21,25.6
01M020,4,2013,All tudent,75,294,23,30.7,27,36,21,28,4,5.3,25,33.3
01M020,4,2014,All tudent,65,300,21,32.3,19,29.2,14,21.5,11,16.9,25,38.5
01M020,4,2015,All tudent,92,291,36,39.1,23,25,18,19.6,15,16.3,33,35.9
01M020,4,2016,All tudent,71,293,27,38,20,28.2,11,15.5,13,18.3,24,33.8
01M020,4,2017,All tudent,69,294,27,39.1,18,26.1,10,14.5,14,20.3,24,34.8
01M020,5,2013,All tudent,77,290,39,50.6,26,33.8,10,13,2,2.6,12,15.6
01M020,5,2014,All tudent,71,298,29,40.8,22,31,14,19.7,6,8.5,20,28.2
01M020,5,2015,All tudent,59,287,32,54.2,10,16.9,13,22,4,6.8,17,28.8
01M020,5,2016,All tudent,73,301,29,39.7,19,26,15,20.5,10,13.7,25,34.2
01M020,5,2017,All tudent,57,299,24,42.1,12,21.1,14,24.6,7,12.3,21,36.8
01M020,All Grade,2013,All tudent,231,296,82,35.5,84,36.4,49,21.2,16,6.9,65,28.1
01M020,All Grade,2014,All tudent,233,298,86,36.9,67,28.8,50,21.5,30,12.9,80,34.3
01M020,All Grade,2015,All tudent,243,293,100,41.2,58,23.9,50,20.6,35,14.4,85,35
01M020,All Grade,2016,All tudent,220,297,80,36.4,63,28.6,43,19.5,34,15.5,77,35
01M020,All Grade,2017,All tudent,208,292,89,42.8,53,25.5,37,17.8,29,13.9,66,31.7
01M034,3,2013,All tudent,39,292,14,35.9,13,33.3,9,23.1,3,7.7,12,30.8
01M034,3,2014,All tudent,32,283,15,46.9,12,37.5,4,12.5,1,3.1,5,15.6
01M034,3,2015,All tudent,31,291,14,45.2,9,29,6,19.4,2,6.5,8,25.8
01M034,3,2016,All tudent,29,304,8,27.6,8,27.6,9,31,4,13.8,13,44.8
01M034,3,2017,All tudent,28,305,6,21.4,14,50,2,7.1,6,21.4,8,28.6
01M034,4,2013,All tudent,46,297,16,34.8,17,37,8,17.4,5,10.9,13,28.3
01M034,4,2014,All tudent,37,297,13,35.1,14,37.8,8,21.6,2,5.4,10,27
01M034,4,2015,All tudent,30,290,9,30,15,50,4,13.3,2,6.7,6,20
01M034,4,2016,All tudent,34,288,14,41.2,13,38.2,6,17.6,1,2.9,7,20.6
01M034,4,2017,All tudent,26,276,14,53.8,9,34.6,3,11.5,0,0,3,11.5
01M034,5,2013,All tudent,30,307,9,30,11,36.7,10,33.3,0,0,10,33.3
01M034,5,2014,All tudent,43,308,10,23.3,19,44.2,10,23.3,4,9.3,14,32.6
01M034,5,2015,All tudent,35,295,17,48.6,11,31.4,5,14.3,2,5.7,7,20
01M034,5,2016,All tudent,29,289,14,48.3,11,37.9,3,10.3,1,3.4,4,13.8
01M034,5,2017,All tudent,27,294,14,51.9,8,29.6,5,18.5,0,0,5,18.5
01M034,6,2013,All tudent,57,303,18,31.6,18,31.6,11,19.3,10,17.5,21,36.8
01M034,6,2014,All tudent,41,295,12,29.3,20,48.8,7,17.1,2,4.9,9,22
01M034,6,2015,All tudent,56,295,19,33.9,23,41.1,11,19.6,3,5.4,14,25
01M034,6,2016,All tudent,54,285,22,40.7,25,46.3,4,7.4,3,5.6,7,13
01M034,6,2017,All tudent,29,297,9,31,13,44.8,4,13.8,3,10.3,7,24.1
01M034,7,2013,All tudent,48,300,17,35.4,21,43.8,10,20.8,0,0,10,20.8
